nthreads,time_mean,confidence_interval,speedup,efficiency
1,73671674,[73312163 - 74031185],1.000000,1.000000
2,38254141,[38181430 - 38326852],1.925848,0.962924
3,28763983,[28634189 - 28893777],2.561247,0.853749
4,26135954,[25895678 - 26376230],2.818786,0.704697
6,25782055,[25584507 - 25979603],2.857479,0.476246
8,25637668,[25360556 - 25914780],2.873572,0.359196
10,25871222,[25691898 - 26050546],2.847630,0.284763
12,25877215,[25663568 - 26090862],2.846971,0.237248
16,25238576,[25010736 - 25466416],2.919011,0.182438
20,25663826,[25397347 - 25930305],2.870643,0.143532
24,25735380,[25492361 - 25978399],2.862661,0.119278
32,25745680,[25426778 - 26064582],2.861516,0.089422
40,25862513,[25652605 - 26072421],2.848589,0.071215
